Issued At,Paid,Location,Ward,Ticket Destination,Zone Name,OS Bal,Cont.
01/02/2022 11:11,£35.00,Rusholme Place (Rusholme),Rusholme,Affixed to vehicle,Limited Waiting,£0.00,26
01/02/2022 11:12,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 11:12,£35.00,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,£0.00,1
01/02/2022 11:14,£25.00,Abingdon Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 11:15,£70.00,Fenwick Street,Hulme,Affixed to vehicle,No Waiting,£0.00,1
01/02/2022 11:15,£35.00,Dantzic Street (Cheetham),Cheetham,Affixed to vehicle,No Waiting,£0.00,1
01/02/2022 11:16,£35.00,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,£0.00,1
01/02/2022 11:17,£0.00,Store Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 11:17,£0.00,Brown Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 11:17,£0.00,Abingdon Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 11:18,£25.00,Ridgefield,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/02/2022 11:19,£0.00,Mitre Road,Longsight,Affixed to vehicle,No Loading at Any Time,£70.00,2
01/02/2022 11:19,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 11:19,£25.00,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,Car Park,£0.00,73
01/02/2022 11:20,£0.00,Tatton Grove,Withington,Affixed to vehicle,Parking Place,£70.00,12
01/02/2022 11:20,£35.00,Ferndene Road,DidsburyEast,Affixed to vehicle,No Loading At Any Time,£0.00,2
01/02/2022 11:22,£50.00,John Dalton Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/02/2022 11:23,£35.00,Albert Hill Street,DidsburyEast,Affixed to vehicle,No Waiting,£0.00,1
01/02/2022 11:23,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
01/02/2022 11:24,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 11:24,£25.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 11:25,£25.00,Marble Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 11:25,£25.00,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/02/2022 11:25,£35.00,Lower Moss Lane,(None),Affixed to vehicle,Restricted Area,£0.00,1
01/02/2022 11:26,£35.00,Cromer Avenue,Old Moat,Affixed to vehicle,Parking Place,£0.00,12
01/02/2022 11:26,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 11:26,£25.00,Lockton Close,Ardwick,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 11:26,£35.00,Dantzic Street (Cheetham),Cheetham,Affixed to vehicle,No Waiting,£0.00,26
01/02/2022 11:27,£25.00,Jackson`s Row,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/02/2022 11:27,£25.00,Chester Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 11:28,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 11:28,£0.00,Sackville Street (City Centre : ZONEC),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/02/2022 11:29,£25.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 11:29,£35.00,Devonshire Street North,Ardwick,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/02/2022 11:30,£25.00,Lockton Close,Ardwick,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 11:38,£25.00,New Wakefield Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 11:38,£35.00,Tatton Street,(None),Affixed to vehicle,Restricted Area,£0.00,1
01/02/2022 11:39,£0.00,Dantzic Street (Cheetham),Cheetham,Affixed to vehicle,No Waiting At Any Time,£70.00,27
01/02/2022 11:40,£25.00,Mayes Street (City Centre : ZONEA),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/02/2022 11:42,£0.00,Kincardine Road,Ardwick,Affixed to vehicle,Limited Waiting,£50.00,30
01/02/2022 11:43,£25.00,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,Car Park,£0.00,73
01/02/2022 11:43,£35.00,Tib Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/02/2022 11:44,£35.00,Acomb Street (ArdwicK),Ardwick,Affixed to vehicle,Restricted Area,£0.00,1
01/02/2022 11:46,£0.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
01/02/2022 11:46,£35.00,Higher Ardwick,Ardwick,Affixed to vehicle,No Waiting,£0.00,1
01/02/2022 11:46,£0.00,Booth Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 11:48,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 11:48,£25.00,Kincardine Road,Ardwick,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 11:49,£35.00,Stockport Road (Longsight),Longsight,Affixed to vehicle,GV Loading Bay,£0.00,23
01/02/2022 11:50,£70.00,Quay Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/02/2022 11:54,£25.00,Port Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 11:56,£70.00,Thomas Street (Cheetham),Cheetham,Affixed to vehicle,Restricted Area,£0.00,23
01/02/2022 11:57,£0.00,Plymouth Grove (Ardwick),Ardwick,Affixed to vehicle,No Waiting At Any Time,£70.00,1
01/02/2022 12:03,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 12:07,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 12:08,£35.00,Turner Street (City Centre),City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,21
01/02/2022 12:09,£25.00,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,24
01/02/2022 12:10,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 12:13,£25.00,Redhill Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 12:13,£0.00,King Street West,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5
01/02/2022 12:16,£0.00,Lake Car Park,(None),Affixed to vehicle,Car Park,£50.00,82
01/02/2022 12:19,£25.00,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 12:21,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 12:21,£25.00,Dutton Street,Cheetham,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 12:21,£25.00,Dutton Street,Cheetham,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 12:22,£25.00,Whitworth Street West (City Centre : ZONEC),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 12:24,£25.00,Jersey Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/02/2022 12:25,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,86
01/02/2022 12:26,£25.00,Dutton Street,Cheetham,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 12:27,£35.00,Dutton Street,Cheetham,Affixed to vehicle,Limited Waiting,£0.00,26
01/02/2022 12:28,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 12:28,£25.00,Dutton Street,Cheetham,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 12:29,£25.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 12:29,£50.00,Collier Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/02/2022 12:30,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 12:30,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 12:31,£35.00,St Mary`s Gate,Deansgate,Affixed to vehicle,GV Loading Bay,£0.00,23
01/02/2022 12:32,£25.00,Jersey Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/02/2022 12:32,£25.00,Hanworth Close,Ardwick,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 12:34,£50.00,John Dalton Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/02/2022 12:34,£25.00,Hall Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
01/02/2022 12:35,£25.00,Julia Street,Cheetham,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 12:38,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 12:38,£25.00,Hanworth Close,Ardwick,Affixed to vehicle,Limited Waiting,£0.00,30
01/02/2022 12:38,£25.00,Hall Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
01/02/2022 12:39,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/02/2022 12:41,£0.00,Briddon Street,Cheetham,Affixed to vehicle,No Waiting,£70.00,1
