Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention Code
29/04/2021 13:51,£0.00,Pre-NtO Discount,St Ann Street,Deansgate,Affixed to vehicle,Parking Places,£35.00,16
29/04/2021 13:52,£0.00,Pre-NtO Discount,Hall Car Park,(None),Affixed to vehicle,Car Park,£25.00,83
29/04/2021 13:53,£0.00,Pre-NtO Discount,Booth Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 13:53,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
29/04/2021 13:54,£0.00,Pre-NtO Discount,Chancery Lane,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 13:55,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:56,£0.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:56,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:57,-£35.00,Pre-NtO Discount,St Ann Street,Deansgate,Affixed to vehicle,Parking Places,£0.00,16
29/04/2021 13:57,£0.00,Pre-NtO Discount,Riga Street,City Centre,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 13:57,£0.00,Pre-NtO Discount,Hall Car Park,(None),Affixed to vehicle,Car Park,£25.00,86
29/04/2021 13:59,£0.00,Pre-NtO Discount,Chancery Lane,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 14:00,£0.00,Pre-NtO Discount,Weybridge Road,Anc & Besw,Affixed to vehicle,Restricted Area,£35.00,1
29/04/2021 14:00,-£25.00,Pre-NtO Discount,Bridgewater Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
29/04/2021 14:01,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 14:01,£0.00,Pre-NtO Discount,Fenella Street,HATHROAD,Affixed to vehicle,Restricted Area,£35.00,1
29/04/2021 14:02,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£35.00,87
29/04/2021 14:03,£0.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 14:06,£0.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£25.00,73
29/04/2021 14:09,£0.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£25.00,73
29/04/2021 14:10,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 14:10,£0.00,Pre-NtO Discount,Redhill Street,Anc & Besw,Affixed to vehicle,No Waiting,£35.00,1
29/04/2021 14:14,£0.00,Pre-NtO Discount,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 14:16,-£35.00,Pre-NtO Discount,Shepherd Street,Harpurhey,Affixed to vehicle,No Waiting At Any Time,£0.00,1
29/04/2021 14:16,£0.00,Pre-NtO Discount,Museum Street,City Centre,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 14:18,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
29/04/2021 14:20,£0.00,Pre-NtO Discount,Lake Car Park,(None),Affixed to vehicle,Car Park,£25.00,83
29/04/2021 14:20,-£35.00,Pre-NtO Discount,Cawdor Road,Fallowfield,Affixed to vehicle,No Waiting At Any Time,£0.00,1
29/04/2021 14:21,£0.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,86
29/04/2021 14:21,£0.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£25.00,73
29/04/2021 14:22,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 14:23,£0.00,Pre-NtO Discount,Chancery Lane,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 14:25,£0.00,Pre-NtO Discount,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 14:26,£0.00,Pre-NtO Discount,George Street,Deansgate,Handed To Driver,Pay and Display Parking,£25.00,6
29/04/2021 14:26,£0.00,Pre-NtO Discount,Norfolk Street,Deansgate,Affixed to vehicle,GV Loading Bay,£35.00,23
29/04/2021 14:27,-£25.00,Pre-NtO Discount,Chepstow Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,82
29/04/2021 14:28,-£25.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
29/04/2021 14:29,£0.00,Pre-NtO Discount,Old Lansdowne Road,DidsburyWest,Affixed to vehicle,No Waiting,£35.00,1
29/04/2021 14:30,£0.00,Pre-NtO Discount,Chepstow Street Car Park,Deansgate,Affixed to vehicle,Car Park,£25.00,73
29/04/2021 14:31,£0.00,Pre-NtO Discount,Stockland Close,Ardwick,Affixed to vehicle,Limited Waiting,£25.00,30
29/04/2021 14:31,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 14:32,£0.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£25.00,73
29/04/2021 14:35,-£25.00,Pre-NtO Discount,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
29/04/2021 14:35,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 14:39,-£35.00,Pre-NtO Discount,Circular Road,DidsburyWest,Affixed to vehicle,Parking Place,£0.00,12
29/04/2021 14:39,£0.00,Pre-NtO Discount,King Street West,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 14:41,-£25.00,Pre-NtO Discount,Mancroft Walk,Ardwick,Affixed to vehicle,Limited Waiting,£0.00,30
29/04/2021 14:43,-£25.00,Pre-NtO Discount,BRIDGEWATER HALL CAR PARK,Southern Lap,Affixed to vehicle,Car Park,£0.00,73
29/04/2021 14:43,£0.00,Pre-NtO Discount,Higher Ardwick,Ardwick,Affixed to vehicle,No Waiting,£35.00,1
