Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention
21/05/2021 15:16,£25.00,Cancelled,Whitworth Street West (City Centre : ZONEB),Deansgate,Spoil,Pay and Display Parking,£25.00,5
21/05/2021 15:16,£0.00,Pre-NtO Discount,Copthall Lane,Cheetham,Affixed to vehicle,No Waiting At Any Time,£35.00,1
21/05/2021 15:16,-£25.00,Pre-NtO Discount,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,86
21/05/2021 15:19,-£30.00,Post NtO,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 15:20,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 15:23,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 15:24,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 15:25,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 15:25,£0.00,Pre-NtO Discount,St Marys Street (City Centre),Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£35.00,40
21/05/2021 15:26,£0.00,Pre-NtO Discount,Whitworth Street West (City Centre : ZONEB),Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/05/2021 15:26,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 15:26,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 15:28,-£30.00,Post NtO,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 15:30,-£25.00,Pre-NtO Discount,Turner Street (City Centre),City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,6
21/05/2021 15:30,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 15:31,£0.00,Pre-NtO Discount,CHINA TOWN CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
21/05/2021 15:32,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 15:32,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 15:33,£0.00,Post NtO,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 15:33,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 15:35,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 15:36,£0.00,Pre-NtO Discount,Phoenix Street,City Centre,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/05/2021 15:38,-£25.00,Pre-NtO Discount,St Mary`s Parsonage,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
21/05/2021 15:41,£0.00,Pre-NtO Discount,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
21/05/2021 15:41,£0.00,Pre-NtO Discount,Brown Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
21/05/2021 15:41,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
