Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
21/07/2020 12:32,£0.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:34,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 12:34,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 12:34,-£25.00,Pre-NtO Discount,Cornell Street (Anc&Bes),Anc & Besw,Affixed to vehicle,Restricted Area,£0.00,6
21/07/2020 12:35,£0.00,Pre-NtO Discount,Lloyd Street,Deansgate,Affixed to vehicle,No Loading at Any Time,£35.00,2
21/07/2020 12:35,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:39,-£35.00,Pre-NtO Discount,Sherborne Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/07/2020 12:39,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 12:40,£0.00,Post NtO,Parrs Wood Lane (A34 to Burnage Lane),DidsburyEast,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:40,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:42,£0.00,Post NtO,Parrs Wood Lane (A34 to Burnage Lane),DidsburyEast,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:42,£0.00,Post NtO,Parrs Wood Lane (A34 to Burnage Lane),DidsburyEast,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:42,£0.00,Pre-NtO Discount,Liverpool Road,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/07/2020 12:45,£0.00,Pre-NtO Discount,George Leigh Street,Anc & Besw,Handed To Driver,Pay and Display Parking,£25.00,5
21/07/2020 12:45,-£35.00,Pre-NtO Discount,Albert Hill Street,DidsburyEast,Affixed to vehicle,No Waiting,£0.00,1
21/07/2020 12:45,£0.00,Pre-NtO Discount,Hanover Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£25.00,5
21/07/2020 12:49,-£25.00,Pre-NtO Discount,Bombay Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,5
21/07/2020 12:50,-£35.00,Pre-NtO Discount,Nell Lane (Chorlton Park),ChorltonPark,Affixed to vehicle,Restricted Area,£0.00,1
21/07/2020 12:52,-£25.00,Pre-NtO Discount,Fountain Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
21/07/2020 12:52,£0.00,Pre-NtO Discount,Chorlton Road,Hulme,Affixed to vehicle,No Waiting At Any Time,£35.00,1
21/07/2020 12:52,£0.00,Pre-NtO Discount,St John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£35.00,21
21/07/2020 12:56,£0.00,Pre-NtO Discount,Cateaton Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£35.00,1
21/07/2020 12:57,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 12:59,-£25.00,Pre-NtO Discount,School Lane (North Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£0.00,83
21/07/2020 12:59,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 13:00,-£35.00,Pre-NtO Discount,Hilton Street (City Centre : ZONEA),Piccadilly,Handed To Driver,No Waiting At Any Time,£0.00,1
21/07/2020 13:04,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 13:05,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34
