Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
04/05/2020 08:26,-£35.00,Pre-NtO Discount,Isaac Way,Anc & Besw,Affixed to vehicle,Restricted Area,£0.00,1
04/05/2020 08:30,-£35.00,Pre-NtO Discount,Pollard Street,Anc & Besw,Affixed to vehicle,No Loading,£0.00,2
04/05/2020 08:33,-£35.00,Pre-NtO Discount,Pollard Street,Anc & Besw,Affixed to vehicle,No Loading,£0.00,2
04/05/2020 08:48,-£70.00,Post NtO,Copperas Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,40
04/05/2020 08:52,-£35.00,Pre-NtO Discount,Blossom Street,Anc & Besw,Affixed to vehicle,No Waiting At Any Time,£0.00,1
04/05/2020 09:00,-£35.00,Pre-NtO Discount,Turner Street (City Centre),City Centre,Affixed to vehicle,GV Loading Bay,£0.00,25
04/05/2020 09:03,-£70.00,Pre-NtO Discount,Turner Street (City Centre),City Centre,Affixed to vehicle,GV Loading Bay,£0.00,25
04/05/2020 09:07,-£35.00,Pre-NtO Discount,High Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,25
04/05/2020 09:13,-£35.00,Pre-NtO Discount,Edge Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,25
04/05/2020 09:19,-£35.00,Pre-NtO Full Rate,Mason Street,Piccadilly,Affixed to vehicle,No Waiting,£0.00,1
04/05/2020 09:34,£0.00,Post CC,Lower Ormond Street (Hulme),Hulme,Affixed to vehicle,Disabled Bay,£105.00,40
04/05/2020 09:35,-£35.00,Pre-NtO Discount,Lower Ormond Street (Hulme),Hulme,Affixed to vehicle,Disabled Bay,£0.00,40
04/05/2020 09:37,-£70.00,Post NtO,HATTER STREET,Central,Affixed to vehicle,No Waiting At Any Time,£0.00,1
04/05/2020 09:38,£0.00,Cancelled,Stevenson Square (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
04/05/2020 09:41,-£35.00,Pre-NtO Discount,Stevenson Square (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,25
04/05/2020 09:42,-£35.00,Pre-NtO Discount,Stevenson Square (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,25
04/05/2020 09:49,-£35.00,Pre-NtO Discount,Gould Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
04/05/2020 10:02,-£105.00,Post CC,Sharp Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
04/05/2020 11:06,-£35.00,Pre-NtO Discount,Lloyd Street,Deansgate,Affixed to vehicle,No Loading at Any Time,£0.00,2
04/05/2020 11:12,-£35.00,Pre-NtO Discount,Spear Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,25
04/05/2020 11:14,£0.00,Cancelled,Thompson Street,Piccadilly,Spoil,Limited Waiting,£0.00,30
04/05/2020 11:17,£0.00,Cancelled,Thompson Street,Piccadilly,Spoil,Limited Waiting,£0.00,30
04/05/2020 11:22,-£25.00,Pre-NtO Discount,Lake Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
04/05/2020 11:24,-£25.00,Pre-NtO Discount,Lake Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
04/05/2020 11:33,£0.00,Post CC,Cateaton Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£105.00,1
04/05/2020 11:37,-£70.00,Post NtO,CATHEDRAL APPROACH,Central,Affixed to vehicle,No Waiting,£0.00,1
04/05/2020 11:45,£0.00,Cancelled,Whitworth Street (Piccadilly : ZONEB),Piccadilly,Spoil,Restricted Area,£0.00,6
04/05/2020 11:54,£0.00,Cancelled,Portland Street (Piccadilly),Piccadilly,Postal-vehicle drive away,Restricted Area,£0.00,2
04/05/2020 11:57,-£25.00,Pre-NtO Discount,Golf Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
04/05/2020 11:58,-£25.00,Pre-NtO Discount,Simeon Street,Central,Affixed to vehicle,Restricted Area,£0.00,30
04/05/2020 11:59,-£35.00,Pre-NtO Discount,Tatton Grove,Withington,Affixed to vehicle,Parking Place,£0.00,12
04/05/2020 11:59,-£25.00,Pre-NtO Discount,Golf Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
04/05/2020 12:00,-£25.00,Pre-NtO Discount,Simeon Street,Central,Affixed to vehicle,Restricted Area,£0.00,30
04/05/2020 12:04,-£25.00,Pre-NtO Discount,Simeon Street,Central,Affixed to vehicle,Restricted Area,£0.00,30
04/05/2020 12:04,£0.00,Cancelled,Cross Keys Street,Piccadilly,Affixed to vehicle,Limited Waiting,£0.00,30
04/05/2020 12:05,-£25.00,Pre-NtO Discount,Golf Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
04/05/2020 12:07,-£25.00,Pre-NtO Discount,Cross Keys Street,Piccadilly,Affixed to vehicle,Limited Waiting,£0.00,30
04/05/2020 12:11,£0.00,Cancelled,Sharp Street,Piccadilly,Spoil,Restricted Area,£0.00,1
04/05/2020 12:13,-£35.00,Pre-NtO Discount,Lord Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,27
04/05/2020 12:13,-£25.00,Pre-NtO Discount,Sharp Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,30
04/05/2020 12:13,-£35.00,Pre-NtO Discount,Church Lane (Harpurhey),Harpurhey,Affixed to vehicle,No Waiting,£0.00,1
04/05/2020 12:18,-£25.00,Pre-NtO Discount,Mason Street,Piccadilly,Affixed to vehicle,Limited Waiting,£0.00,30
04/05/2020 12:18,-£25.00,Pre-NtO Discount,Golf Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
04/05/2020 12:20,-£25.00,Pre-NtO Discount,Marshall Street,Piccadilly,Affixed to vehicle,Limited Waiting,£0.00,30
04/05/2020 12:22,-£25.00,Pre-NtO Discount,Marshall Street,Piccadilly,Affixed to vehicle,Limited Waiting,£0.00,30
04/05/2020 12:23,-£25.00,Pre-NtO Discount,Marshall Street,Piccadilly,Affixed to vehicle,Limited Waiting,£0.00,30
04/05/2020 12:28,-£35.00,Post NtO,Oxford Road (City Centre),Deansgate,Postal-vehicle drive away,Bus stop clearway,£0.00,47
04/05/2020 12:33,-£25.00,Pre-NtO Discount,Dyche Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,30
04/05/2020 12:35,-£25.00,Pre-NtO Discount,Dyche Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,30
04/05/2020 12:37,-£25.00,Pre-NtO Discount,Dyche Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,30
04/05/2020 12:38,-£25.00,Pre-NtO Discount,Oldham Road (Anc&Clay),Anc&Clay,Affixed to vehicle,Limited Waiting,£0.00,30
04/05/2020 12:38,£0.00,Post NtO,Oldham Road (Anc&Clay),Anc&Clay,Affixed to vehicle,Limited Waiting,£50.00,30
04/05/2020 12:39,-£25.00,Pre-NtO Discount,Dyche Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,30
04/05/2020 12:41,-£50.00,Pre-NtO Full Rate,Dyche Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,30
04/05/2020 12:46,-£25.00,Pre-NtO Discount,Hall Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
04/05/2020 12:48,-£35.00,Pre-NtO Discount,King Street West,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
04/05/2020 12:48,-£25.00,Pre-NtO Discount,Naples Street,Piccadilly,Affixed to vehicle,Limited Waiting,£0.00,30
04/05/2020 12:50,-£25.00,Pre-NtO Discount,Naples Street,Piccadilly,Affixed to vehicle,Limited Waiting,£0.00,30
