Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Contravention,Contravention Description
01/03/2020  04:38: ,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  04:49: ,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  04:52: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  05:16: ,£0.00,Pre-NtO Full Rate,ARTILLERY STREET,Southern Lap,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  05:16: ,-£35.00,Pre-NtO Discount,ARTILLERY STREET,Southern Lap,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  05:31: ,£0.00,Pre-NtO Full Rate,Well Street,Piccadilly,Affixed to vehicle,Taxi Clearway,£70.00,45,Parked on a taxi rank  
01/03/2020  05:31: ,£0.00,Pre-NtO Full Rate,Well Street,Piccadilly,Affixed to vehicle,Taxi Clearway,£70.00,45,Parked on a taxi rank  
01/03/2020  05:35: ,-£70.00,Pre-NtO Discount,Withy Grove,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  05:47: ,-£35.00,Pre-NtO Discount,Shudehill (City Centre),Piccadilly,Affixed to vehicle,No Waiting,£35.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  05:53: ,-£35.00,Pre-NtO Discount,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40,Parked in a designated disabled person's parking place without displaying a valid disabled person's badge. 
01/03/2020  06:05: ,£0.00,Pre-NtO Full Rate,Oxford Street,Deansgate,Affixed to vehicle,Taxi Stand,£70.00,45,Parked on a taxi rank  
01/03/2020  06:07: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  06:22: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  06:57: ,£0.00,Cancelled,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  07:07: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  07:14: ,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  07:18: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  07:33: ,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  07:45: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  07:57: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  07:59: ,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  08:09: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  08:15: ,-£25.00,Pre-NtO Discount,Princess Street (Piccadilly : ZONEB),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:17: ,-£25.00,Pre-NtO Discount,Harter Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:18: ,-£25.00,Pre-NtO Discount,Dickinson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:19: ,-£25.00,Pre-NtO Discount,West Mosely Street,Deansgate,Affixed to vehicle,Restricted Area,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:20: ,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  08:21: ,-£25.00,Pre-NtO Discount,West Mosely Street,Deansgate,Affixed to vehicle,Restricted Area,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:23: ,-£50.00,Pre-NtO Full Rate,Chepstow Street North,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:23: ,-£25.00,Pre-NtO Discount,Lloyd Street,Moss Side,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
01/03/2020  08:26: ,-£25.00,Pre-NtO Discount,West Mosely Street,Deansgate,Affixed to vehicle,Restricted Area,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:27: ,-£25.00,Pre-NtO Discount,Lloyd Street,Moss Side,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:27: ,£0.00,Pre-NtO Full Rate,Minshull Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:28: ,£0.00,Pre-NtO Full Rate,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
01/03/2020  08:29: ,£0.00,Pre-NtO Full Rate,Birchin Lane,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:29: ,£0.00,Pre-NtO Full Rate,Great Bridgewater Street (City Centre : ZONEB),Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:29: ,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  08:30: ,-£25.00,Pre-NtO Discount,Dickinson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:31: ,-£35.00,Pre-NtO Discount,York Street (City Centre : ZONEC),Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  08:32: ,£0.00,Cancelled,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:33: ,£0.00,Pre-NtO Full Rate,Dickinson Street,Deansgate,Handed To Driver,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
