Issued At,Paid,Location,Ward,Ticket Destination,Zone Name,OS Bal,Cont.
26/06/2022 13:19,£30.00,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
26/06/2022 13:19,£0.00,Oxford Road (Hathersage Road To Denmark Road),Rusholme,Postal (from Cctv Review Client),Bus Lane,£30.00,34
26/06/2022 13:22,£30.00,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
26/06/2022 13:24,£0.00,Oxford Road (Hathersage Road To Denmark Road),Rusholme,Postal (from Cctv Review Client),Bus Lane,£30.00,34
26/06/2022 13:25,£30.00,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
26/06/2022 13:27,£0.00,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
26/06/2022 13:28,£30.00,Rochdale Road (Livesey Street to Thompson Street),Harpurhey,Postal (from Cctv Review Client),Bus Lane,£0.00,34
26/06/2022 13:30,£0.00,Rochdale Road (Livesey Street to Thompson Street),Harpurhey,Postal (from Cctv Review Client),Bus Lane,£30.00,34
26/06/2022 13:32,£0.00,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
26/06/2022 13:32,£0.00,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
26/06/2022 13:33,£0.00,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
26/06/2022 13:34,£0.00,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
26/06/2022 13:37,£0.00,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
26/06/2022 13:38,£0.00,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
26/06/2022 13:38,£0.00,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
